Rk,G,Date,Age,Tm,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
38,38,"January 13, 2025",19-176,WAS,MIN,L (-14),1,33:47:00,2,9,0.222,2,6,0.333,2,2,1,1,4,5,2,1,0,0,2,8,6,-17
39,39,"January 16, 2025",19-179,WAS,PHO,L (-7),1,26:03:00,2,7,0.286,1,5,0.2,1,1,1,0,4,4,3,1,1,0,0,6,6.9,-14
40,40,"January 18, 2025",19-181,WAS,GSW,L (-8),1,29:36:00,5,8,0.625,4,6,0.667,3,5,0.6,0,2,2,3,1,0,2,4,17,12.7,-14
41,41,"January 19, 2025",19-182,WAS,SAC,L (-23),1,26:35:00,2,5,0.4,0,2,0,2,2,1,0,6,6,3,0,0,0,0,6,7.2,-13
42,42,"January 21, 2025",19-184,WAS,LAL,L (-23),1,28:58:00,1,8,0.125,1,4,0.25,0,0,,0,4,4,2,2,0,2,2,3,-0.4,-14
43,43,"January 23, 2025",19-186,WAS,LAC,L (-17),1,30:41:00,4,13,0.308,2,8,0.25,2,2,1,1,5,6,5,2,0,2,2,12,9.4,-20
44,44,"January 25, 2025",19-188,WAS,PHO,L (-10),0,25:43:00,4,9,0.444,3,8,0.375,0,0,,1,0,1,2,0,0,0,2,11,7.6,-7
45,45,"January 27, 2025",19-190,WAS,DAL,L (-22),0,24:54:00,2,6,0.333,1,3,0.333,2,2,1,1,0,1,1,0,0,1,0,7,4,-7
46,46,"January 29, 2025",19-192,WAS,TOR,L (-24),0,22:47,1,4,0.25,1,3,0.333,0,0,,1,1,2,1,0,0,2,0,3,0.3,-10
47,47,"January 30, 2025",19-193,WAS,LAL,L (-38),0,21:46,1,8,0.125,0,5,0,0,0,,0,1,1,6,0,0,1,2,2,-0.5,-25
48,48,"February 1, 2025",19-195,WAS,MIN,W (+2),0,14:24,0,1,0,0,0,,0,0,,0,0,0,4,1,0,0,4,0,1.5,0
49,49,"February 3, 2025",19-197,WAS,CHO,W (+10),0,12:20,2,6,0.333,0,3,0,0,0,,1,0,1,1,0,0,0,0,4,2,-2
50,50,"February 5, 2025",19-199,WAS,BRK,W (+17),1,35:28:00,5,8,0.625,4,6,0.667,2,2,1,0,4,4,10,1,0,1,1,16,20.2,15
